run,speedup,relative_error
378,1.38611,8.50657e-06
379,1.38536,8.50657e-06
380,1.38628,8.50657e-06
381,1.38565,8.50657e-06
382,1.38608,8.50657e-06
383,1.38108,8.50657e-06
384,1.38713,8.50657e-06
385,1.38516,8.50657e-06
386,1.38626,8.50657e-06
387,1.38689,8.50657e-06
388,1.38632,8.50657e-06
389,1.38716,8.50657e-06
390,1.38601,8.50657e-06
391,1.38697,8.50657e-06
392,1.3875,8.50657e-06
393,1.38956,8.50657e-06
394,1.38011,8.50657e-06
395,1.37884,8.50657e-06
396,1.38406,8.50657e-06
397,1.38475,8.50657e-06
398,1.38503,8.50657e-06
399,1.38668,8.50657e-06
400,1.3885,8.50657e-06
401,1.38459,8.50657e-06
402,1.382,8.50657e-06
403,1.38716,8.50657e-06
404,1.38547,8.50657e-06
405,1.37945,8.50657e-06
406,1.38868,8.50657e-06
407,1.38976,8.50657e-06
408,1.39037,8.50657e-06
409,1.38081,8.50657e-06
410,1.38991,8.50657e-06
411,1.38693,8.50657e-06
412,1.38599,8.50657e-06
413,1.38816,8.50657e-06
414,1.38774,8.50657e-06
415,1.3917,8.50657e-06
416,1.38719,8.50657e-06
417,1.38222,8.50657e-06
418,1.38769,8.50657e-06
419,1.39113,8.50657e-06
420,1.38929,8.50657e-06
421,1.38704,8.50657e-06
422,1.38952,8.50657e-06
423,1.38635,8.50657e-06
424,1.3836,8.50657e-06
425,1.38977,8.50657e-06
426,1.38977,8.50657e-06
427,1.38541,8.50657e-06
428,1.38789,8.50657e-06
429,1.38692,8.50657e-06
430,1.3921,8.50657e-06
431,1.38383,8.50657e-06
432,1.3817,8.50657e-06
433,1.38577,8.50657e-06
434,1.38986,8.50657e-06
435,1.39009,8.50657e-06
436,1.37456,8.50657e-06
437,1.38829,8.50657e-06
438,1.39192,8.50657e-06
439,1.38701,8.50657e-06
440,1.3865,8.50657e-06
441,1.38665,8.50657e-06
442,1.39059,8.50657e-06
443,1.38461,8.50657e-06
444,1.39075,8.50657e-06
445,1.39046,8.50657e-06
446,1.37846,8.50657e-06
447,1.38426,8.50657e-06
448,1.38827,8.50657e-06
449,1.38774,8.50657e-06
450,1.38986,8.50657e-06
451,1.38769,8.50657e-06
452,1.39039,8.50657e-06
453,1.3931,8.50657e-06
454,1.39101,8.50657e-06
455,1.39002,8.50657e-06
456,1.38996,8.50657e-06
457,1.38162,8.50657e-06
458,1.38807,8.50657e-06
459,1.38987,8.50657e-06
460,1.38949,8.50657e-06
461,1.38786,8.50657e-06
462,1.39063,8.50657e-06
463,1.39058,8.50657e-06
464,1.38895,8.50657e-06
465,1.39271,8.50657e-06
466,1.38189,8.50657e-06
467,1.388,8.50657e-06
468,1.38924,8.50657e-06
469,1.37753,8.50657e-06
470,1.3851,8.50657e-06
471,1.3856,8.50657e-06
472,1.38895,8.50657e-06
473,1.38936,8.50657e-06
474,1.38596,8.50657e-06
475,1.38506,8.50657e-06
476,1.38929,8.50657e-06
477,1.38542,8.50657e-06
478,1.38735,8.50657e-06
479,1.38895,8.50657e-06
480,1.3896,8.50657e-06
481,1.38715,8.50657e-06
482,1.40001,8.50657e-06
483,1.37732,8.50657e-06
484,1.38305,8.50657e-06
485,1.38647,8.50657e-06
486,1.39184,8.50657e-06
487,1.38764,8.50657e-06
488,1.38831,8.50657e-06
489,1.38228,8.50657e-06
490,1.38324,8.50657e-06
491,1.39031,8.50657e-06
492,1.38809,8.50657e-06
493,1.38262,8.50657e-06
494,1.39113,8.50657e-06
495,1.38817,8.50657e-06
496,1.38181,8.50657e-06
497,1.38843,8.50657e-06
498,1.39117,8.50657e-06
499,1.38829,8.50657e-06
500,1.38506,8.50657e-06
